Entry,Variety,Class,Code,Quality,Traits
1,Stephens,SWW,SWW10001,D,
2,ARS Crescent,Club,CW40004,MD,
3,WB1621,SWW,SWW10269,MD,
4,WB1922,SWW,SWW10271,D,
5,WB1545,SWW,SWW10317,,
6,Piranha CL+,SWW,SWW10227,D,CL+
7,Sockeye CL+,SWW,SWW10228,MD,CL+
8,Nova AX (WA8346 AX),SWW,SWW10281,MD,AX
9,WA8397,SWW,SWW10315,,
10,WA8398,SWW,SWW10311,,
11,WA8404,SWW,SWW10312,,
12,WA8405,SWW,SWW10313,,
13,LCS Drive,SWW,SWW10013,D,
14,LCS Shine,SWW,SWW10017,MD,
15,LCS Blackjack,SWW,SWW10019,D,
16,LCS Jefe,SWW,SWW10232,D,
17,LCS Kamiak,SWW,SWW10248,A,
18,LCS Hydra AX,SWW,SWW10291,,AX
19,LCS Scorpion AX,SWW,SWW10293,,AX
20,LCS Reaper II AX,SWW,SWW10318,,AX
21,LWWA22-D33,SWW,SWW10319,,AX
22,LWWC21-0119,SWW,SWW10320,,CL+
23,LWW20-2383,SWW,SWW10301,,
24,LWW20-2867,SWW,SWW10316,,
25,LWW21-1834,SWW,SWW10321,,
26,LWWC21-0331,SWW,SWW10322,,CL+
27,LWWC21-0317,SWW,SWW10325,,CL+
28,VI Voodoo CL+,SWW,SWW10230,D,CL+
29,VI Encore CL+ (UIL 17-7706 CL+),SWW,SWW10251,D,CL+
30,VI Gem (UIL 13-046145A),SWW,SWW10252,,
31,TMC M-Press,SWW,SWW10035,D,
32,TMC M-Pire,SWW,SWW10272,D,
33,SY Assure,SWW,SWW10026,D,
34,AP Iliad,SWW,SWW10223,A,
35,AP Exceed,SWW,SWW10253,MD,
36,AP Olympia,SWW,SWW10305,,
37,Rosalyn,SWW,SWW10005,A,
38,Norwest Tandem,SWW,SWW10007,A,
39,Appleby CL+,SWW,SWW10173,D,CL+
40,Nimbus,SWW,SWW10201,MD,
41,Gale (OR2180377),SWW,SWW10274,,
42,OR2180350,SWW,SWW10323,,
43,OR2180149,SWW,SWW10273,,
44,OR2170559,SWW,SWW10240,,
45,Mallory CL+ (ORI2190025 CL+),SWW,SWW10241,,CL+
46,ORI2190027 CL+,SWW,SWW10242,,CL+
47,OR2200083 CL+,SWW,SWW10299,,CL+
48,OR5180071,Club,CW40023,,
49,OR5180072,Club,CW40029,,
50,OR5190014,Club,CW40032,,
51,OR3230026 AX,SWW,SWW10324,,AX
52,Cameo,Club,CW40021,MD,
53,Calypso (ARS09500-17CBW),Club,CW40025,,
54,ARS Castella,Club,CW40003,MD,
